"id","rightsHolder","datasetName","basisOfRecord","year","month","latitude","longitude","coordinatePrecision","coordinateUncertaintyInMeters","dataGeneralizations","taxonID","scientificName","taxonRank","kingdom","phylum","class","order","family","genus","occurrenceID","dataSource","datasetID","dataQuality","TOWNID","type","taxaKingdomGroup","taxaSubGroup"
"6481712180233a0021442ac0","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2006","02","23.38673","120.45478","0.00001","","","t0074835","Monoraphidium circinale","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Monoraphidium","R-2020-NA-0003441","TBIA","","good","D12","land","Plantae","Algae"
"6481712180233a0021442cfd","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2010","06","24.30005","120.91985","0.00001","","","t0073603","Cylindrocystis crassa","species","Plantae","Charophyta","Conjugatophyceae","Zygnematales","Mesotaeniaceae","Cylindrocystis","R-2020-NA-0004216","TBIA","","good","B29","land","Plantae","Algae"
"645af8b20d1f13005d3c6461","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2017","03","23.26236","119.65705","","<25公尺","false","t0073765","Dudresnaya japonica","species","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Dumontiaceae","Dudresnaya","BF40B145-F033-4A77-A812-C0CE1BB68E24","TBIA","","good","sea","sea","Plantae","Algae"
"645a0852a6de000056992dcc","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2016","06","23.25064","119.67442","","<25公尺","false","t0059091","Portieria hornemannii","species","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Rhizophyllidaceae","Portieria","6FAC7098-1113-4E23-8B6C-2051B7DAF7FD","TBIA","","good","sea","sea","Plantae","Algae"
"645a439b0d1f13002f1d7a31","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2017","03","23.25064","119.67442","","<25公尺","false","t0074355","Hypnea pannosa","species","Plantae","Rhodophyta","Florideophyceae","Acrosymphytales","Schimmelmanniaceae","Hypnea","83676D60-3A5F-4691-9584-708D503849B9","TBIA","","good","sea","sea","Plantae","Algae"
"6481712180233a0021442c88","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2009","10","24.29273","120.93349","0.00001","","","t0073603","Cylindrocystis crassa","species","Plantae","Charophyta","Conjugatophyceae","Zygnematales","Mesotaeniaceae","Cylindrocystis","R-2020-NA-0004085","TBIA","","good","B29","land","Plantae","Algae"
"6481712c80233a0021444ed7","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2013","11","24.41159","120.86688","0.00001","","","t0075140","Pediastrum duplex","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae","Pediastrum","R-2020-NA-0014850","TBIA","","good","K15","land","Plantae","Algae"
"6481712c80233a0021444e5c","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","01","24.4668","120.88588","0.00001","","","t0075140","Pediastrum duplex","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae","Pediastrum","R-2020-NA-0014678","TBIA","","good","K17","land","Plantae","Algae"
"6481712180233a0021442d1e","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2012","10","22.8024","120.27999","0.00001","","","t0074839","Monoraphidium komarkovae","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Monoraphidium","R-2020-NA-0004286","TBIA","","good","E19","land","Plantae","Algae"
"6481712080233a00214428ed","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2005","10","23.4145","120.50707","0.00001","","","t0073304","Closterium acerosum","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Closteriaceae","Closterium","R-2020-NA-0002574","TBIA","","good","Q14","land","Plantae","Algae"
"6481712180233a0021442b83","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2006","05","23.37934","120.4309","0.00001","","","t0058203","Scenedesmus acutus","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","R-2020-NA-0003777","TBIA","","good","D12","land","Plantae","Algae"
"6481712280233a0021442ef7","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","08","23.24","120.52","0.00001","","","t0073368","Coelastrum reticulatum","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum","R-2020-NA-0005441","TBIA","","good","D14","land","Plantae","Algae"
"645a83140d1f13005d3a7d5a","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2016","10","23.24738","119.66802","","<25公尺","false","t0075419","Plocamium telfairiae","species","Plantae","Rhodophyta","Florideophyceae","Plocamiales","Plocamiaceae","Plocamium","96A57EFD-78D0-4480-A00F-874E7F2CF3FE","TBIA","","good","sea","sea","Plantae","Algae"
"6607a77ef07164005c4e9c89","臺灣生物多樣性資訊機構 TaiBIF","eDNA along Houdong riverine zonation in Taiwan","MaterialSample","2022","04","24.830522","121.804607","","30.0","","t0005154","Rhodomelaceae","family","Plantae","Rhodophyta","Florideophyceae","Ceramiales","","","houdongkeng_water_edna-4546","TBIA","","good","G02","land","Plantae","Algae"
"6481712c80233a0021444ef7","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","01","24.41159","120.86688","0.00001","","","t0075812","Scenedesmus spinosus","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","R-2020-NA-0014890","TBIA","","good","K15","land","Plantae","Algae"
"6481712c80233a0021444d43","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2013","11","24.54885","120.92448","0.00001","","","t0058848","Coelastrum morus","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum","R-2020-NA-0014289","TBIA","","good","K17","land","Plantae","Algae"
"6481712c80233a0021444dbc","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2013","09","24.44684","120.90391","0.00001","","","t0075773","Scenedesmus acutiformis","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","R-2020-NA-0014450","TBIA","","good","K15","land","Plantae","Algae"
"6481712980233a00214445a8","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2015","10","24.68381","120.9169","0.00001","","","t0024873","Spirogyra","genus","Plantae","Charophyta","Conjugatophyceae","Zygnematales","Zygnemataceae","","R-2020-NA-0012104","TBIA","","good","K10","land","Plantae","Algae"
"6481712180233a0021442c95","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2010","03","24.29273","120.93349","0.00001","","","t0024873","Spirogyra","genus","Plantae","Charophyta","Conjugatophyceae","Zygnematales","Zygnemataceae","","R-2020-NA-0004099","TBIA","","good","B29","land","Plantae","Algae"
"645959e9a0a307002cfd3aee","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2016","10","23.25064","119.67442","","<25公尺","false","t0074355","Hypnea pannosa","species","Plantae","Rhodophyta","Florideophyceae","Acrosymphytales","Schimmelmanniaceae","Hypnea","3F267035-421D-41CF-B183-403B6A0C8AE2","TBIA","","good","sea","sea","Plantae","Algae"
"6481712e80233a00214454de","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2019","03","23.78668","121.46196","0.00001","","","t0073365","Coelastrum microporum","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum","R-2020-NA-0018745","TBIA","","good","U07","land","Plantae","Algae"
"6481712c80233a0021444f4f","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","01","24.45406","120.81514","0.00001","","","t0075794","Scenedesmus longispina","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","R-2020-NA-0015012","TBIA","","good","K05","land","Plantae","Algae"
"6607a77ef07164005c4e9bb1","臺灣生物多樣性資訊機構 TaiBIF","eDNA along Houdong riverine zonation in Taiwan","MaterialSample","2022","04","24.841736","121.825681","","30.0","","t0000439","Florideophyceae","class","Plantae","Rhodophyta","","","","","houdongkeng_water_edna-3330","TBIA","","good","G02","land","Plantae","Algae"
"6481712c80233a0021444d33","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2013","09","24.54885","120.92448","0.00001","","","t0075772","Scenedesmus acuminatus","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","R-2020-NA-0014269","TBIA","","good","K17","land","Plantae","Algae"
"6481712980233a002144463b","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2015","10","24.64492","120.95456","0.00001","","","t0024400","Oedogonium","genus","Plantae","Chlorophyta","Chlorophyceae","Oedogoniales","Oedogoniaceae","","R-2020-NA-0012255","TBIA","","good","K14","land","Plantae","Algae"
"645b5fc30d1f1300703d2439","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2017","03","23.25232","119.60995","","<25公尺","false","t0074355","Hypnea pannosa","species","Plantae","Rhodophyta","Florideophyceae","Acrosymphytales","Schimmelmanniaceae","Hypnea","DE40A6BC-2E7C-493E-B388-4F9822743A91","TBIA","","good","sea","sea","Plantae","Algae"
"6481712e80233a00214454da","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2019","03","23.78668","121.46196","0.00001","","","t0075143","Pediastrum simplex","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae","Pediastrum","R-2020-NA-0018738","TBIA","","good","U07","land","Plantae","Algae"
"6481712480233a00214436b2","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2015","02","23.07","120.49","0.00001","","","t0073368","Coelastrum reticulatum","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum","R-2020-NA-0008160","TBIA","","good","D38","land","Plantae","Algae"
"6607a77df07164005c4e9ab0","臺灣生物多樣性資訊機構 TaiBIF","eDNA along Houdong riverine zonation in Taiwan","MaterialSample","2022","04","24.841736","121.825681","","30.0","","t0005038","Chlorellaceae","family","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","","","houdongkeng_water_edna-2212","TBIA","","good","G02","land","Plantae","Algae"
"6481712e80233a00214453f7","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2018","01","22.9651","121.1323","0.00001","","","t0073312","Closterium gracile","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Closteriaceae","Closterium","R-2020-NA-0016705","TBIA","","good","V09","land","Plantae","Algae"
"6458d3d4a0a307002cfafddc","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2017","04","23.24738","119.66802","","<25公尺","false","t0073765","Dudresnaya japonica","species","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Dumontiaceae","Dudresnaya","0F3D9F0D-3548-418D-9F12-B52D62FE11AE","TBIA","","good","sea","sea","Plantae","Algae"
"645aaa140d1f13005d3b2251","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2016","11","23.26983","119.51218","","<25公尺","false","t0072931","Bryopsis plumosa","species","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Bryopsidaceae","Bryopsis","A4749384-3667-4817-ACC7-57F3D4D1F416","TBIA","","good","sea","sea","Plantae","Algae"
"655f6b97ffe55200171eba41","GBIF","Joseph F. Rock Herbarium (Univ. of Hawaiʻi at Mānoa)","PreservedSpecimen","1973","04","25.000929","121.91557","","14714.0","","t0023811","Eucheuma","genus","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Solieriaceae","","3751293105","TBIA","","good","F24","land","Plantae","Algae"
"645a27db0d1f13002f1cfc30","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2017","04","23.26236","119.65705","","<25公尺","false","t0073765","Dudresnaya japonica","species","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Dumontiaceae","Dudresnaya","78C8D8B8-9FD5-4C99-9EAC-D3223D92885F","TBIA","","good","sea","sea","Plantae","Algae"
"6481712880233a002144412c","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2015","10","24.59638","120.99823","0.00001","","","t0058870","Cosmarium laeve","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Cosmarium","R-2020-NA-0010895","TBIA","","good","K14","land","Plantae","Algae"
"645b4e810d1f1300703cdf76","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2016","06","23.26236","119.65705","","<25公尺","false","t0074742","Martensia fragilis","species","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Martensia","D889E780-5F5A-44FF-953D-0A81B483F2EE","TBIA","","good","sea","sea","Plantae","Algae"
"6481712780233a0021443e90","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2015","12","24.68381","120.9169","0.00001","","","t0073490","Cosmarium granatum","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Cosmarium","R-2020-NA-0010198","TBIA","","good","K10","land","Plantae","Algae"
"6481712980233a00214445d3","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2015","07","24.66408","120.86699","0.00001","","","t0024400","Oedogonium","genus","Plantae","Chlorophyta","Chlorophyceae","Oedogoniales","Oedogoniaceae","","R-2020-NA-0012147","TBIA","","good","K11","land","Plantae","Algae"
"6481712f80233a00214457ed","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2017","04","23.67668","121.46344","0.00001","","","t0058204","Scenedesmus dimorphus","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","R-2020-NA-0020777","TBIA","","good","U07","land","Plantae","Algae"
"6481712180233a0021442ae6","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2006","05","23.45155","120.49891","0.00001","","","t0069578","Tetraedron pentaedricum","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae","Tetraedron","R-2020-NA-0003502","TBIA","","good","Q14","land","Plantae","Algae"
"6481712380233a00214431c3","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2015","02","23.09","120.48","0.00001","","","t0058870","Cosmarium laeve","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Cosmarium","R-2020-NA-0006877","TBIA","","good","D36","land","Plantae","Algae"
"6481712c80233a0021444fb2","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","04","24.52972","120.81597","0.00001","","","t0073304","Closterium acerosum","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Closteriaceae","Closterium","R-2020-NA-0015153","TBIA","","good","K01","land","Plantae","Algae"
"6481712d80233a0021445242","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2013","11","24.41159","120.86688","0.00001","","","t0058291","Stauridium tetras","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae","Stauridium","R-2020-NA-0016078","TBIA","","good","K15","land","Plantae","Algae"
"655f5161ffe55200171947ea","GBIF","iNaturalist Research-grade Observations","HumanObservation","2022","09","25.019118","121.998632","","49.0","","t0074355","Hypnea pannosa","species","Plantae","Rhodophyta","Florideophyceae","Acrosymphytales","Schimmelmanniaceae","Hypnea","3923357622","TBIA","","good","F24","land","Plantae","Algae"
"6481712980233a002144462e","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2016","03","24.66308","121.07299","0.00001","","","t0003025","Chlorococcales","order","Plantae","Chlorophyta","Chlorophyceae","","","","R-2020-NA-0012242","TBIA","","good","J12","land","Plantae","Algae"
"6481712c80233a0021444d63","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","01","24.54885","120.92448","0.00001","","","t0073322","Closterium lunula","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Closteriaceae","Closterium","R-2020-NA-0014330","TBIA","","good","K17","land","Plantae","Algae"
"6481712180233a0021442b3b","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2006","05","23.43187","120.54756","0.00001","","","t0075964","Spirogyra spreeiana","species","Plantae","Charophyta","Conjugatophyceae","Zygnematales","Zygnemataceae","Spirogyra","R-2020-NA-0003642","TBIA","","good","Q14","land","Plantae","Algae"
"6481712280233a0021442e11","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2012","10","24.58549","120.88084","0.00001","","","t0073485","Cosmarium formosulum","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Cosmarium","R-2020-NA-0004979","TBIA","","good","K08","land","Plantae","Algae"
"6481712b80233a0021444a2d","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2018","07","24.71396","121.82032","0.00001","","","t0075143","Pediastrum simplex","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae","Pediastrum","R-2020-NA-0013270","TBIA","","good","G07","land","Plantae","Algae"
"6607a77ef07164005c4e9cb9","臺灣生物多樣性資訊機構 TaiBIF","eDNA along Houdong riverine zonation in Taiwan","MaterialSample","2022","04","24.835469","121.799973","","30.0","","t0000439","Florideophyceae","class","Plantae","Rhodophyta","","","","","houdongkeng_water_edna-4803","TBIA","","good","G02","land","Plantae","Algae"
"655f49b0ffe55200171749c0","GBIF","iNaturalist Research-grade Observations","HumanObservation","2020","05","24.831178","121.822392","","100.0","","t0069732","Ulva lactuca","species","Plantae","Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","2620052343","TBIA","","good","G02","land","Plantae","Algae"
"6481712e80233a0021445497","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2018","01","22.9749","121.1682","0.00001","","","t0073521","Cosmarium subcrenatum","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Cosmarium","R-2020-NA-0016987","TBIA","","good","V09","land","Plantae","Algae"
"6481712280233a0021442fab","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","08","23.09","120.48","0.00001","","","t0058870","Cosmarium laeve","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Cosmarium","R-2020-NA-0005865","TBIA","","good","D36","land","Plantae","Algae"
"6481712e80233a002144538e","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2017","11","23.1259","121.1697","0.00001","","","t0073521","Cosmarium subcrenatum","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Cosmarium","R-2020-NA-0016560","TBIA","","good","V13","land","Plantae","Algae"
"6481712680233a0021443b11","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2015","11","23.51005","120.37475","0.00001","","","t0075138","Pediastrum biwae","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae","Pediastrum","R-2020-NA-0009288","TBIA","","good","Q07","land","Plantae","Algae"
"6481712480233a00214434a6","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","08","23.24","120.52","0.00001","","","t0073368","Coelastrum reticulatum","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum","R-2020-NA-0007636","TBIA","","good","D14","land","Plantae","Algae"
"6481712b80233a0021444bdb","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2017","02","23.8432","120.8658","0.00001","","","t0024886","Staurastrum","genus","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","","R-2020-NA-0013890","TBIA","","good","M11","land","Plantae","Algae"
"6481711f80233a00214426a2","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2004","06","23.45155","120.49891","0.00001","","","t0075807","Scenedesmus quadricauda","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","R-2020-NA-0000429","TBIA","","good","Q14","land","Plantae","Algae"
"6481712f80233a00214456e8","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2018","07","23.92396","121.59719","0.00001","","","t0058880","Crucigenia apiculata","species","Plantae","Chlorophyta","Trebouxiophyceae","","","Crucigenia","R-2020-NA-0020089","TBIA","","good","U05","land","Plantae","Algae"
"645993dfa0a307002cfe3609","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2016","07","23.28915","119.5024","","<25公尺","false","t0073091","Caulerpa chemnitzia","species","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","54435B44-ECC9-44DE-8993-49A6096532DA","TBIA","","good","X05","land","Plantae","Algae"
"6481712180233a0021442b35","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2006","05","23.43187","120.54756","0.00001","","","t0073363","Coelastrum cambricum","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum","R-2020-NA-0003635","TBIA","","good","Q14","land","Plantae","Algae"
"6481712180233a0021442c82","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2010","03","24.28834","120.93761","0.00001","","","t0024873","Spirogyra","genus","Plantae","Charophyta","Conjugatophyceae","Zygnematales","Zygnemataceae","","R-2020-NA-0004079","TBIA","","good","B29","land","Plantae","Algae"
"6481712e80233a0021445635","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2018","04","23.87966","121.54204","0.00001","","","t0075807","Scenedesmus quadricauda","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","R-2020-NA-0019645","TBIA","","good","U06","land","Plantae","Algae"
"6481712e80233a0021445514","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2019","03","23.92396","121.59719","0.00001","","","t0075780","Scenedesmus carinatus","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","R-2020-NA-0018860","TBIA","","good","U05","land","Plantae","Algae"
"6481711f80233a00214426cf","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2004","08","23.40492","120.38889","0.00001","","","t0074323","Hyaloraphidium contotum","species","Plantae","Chlorophyta","Chlorophyceae","Chlorococcales","Oocystaceae","Hyaloraphidium","R-2020-NA-0000918","TBIA","","good","D12","land","Plantae","Algae"
"645b5fc30d1f1300703d243b","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2016","10","23.25064","119.67442","","<25公尺","false","t0058510","Mastophora rosea","species","Plantae","Rhodophyta","Florideophyceae","Corallinales","Mastophoraceae","Mastophora","DE40AD0C-7F1A-45A1-85D0-7868E35275C9","TBIA","","good","sea","sea","Plantae","Algae"
